Rk,School,G,W,L,W.L.,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,0.433,-2.51,1.18,2249,2133,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617
2,Air Force,32,14,18,0.438,2.6,2.72,2142,2146,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544
3,Akron,33,22,11,0.667,4.62,-1.22,2463,2209,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529
4,Alabama,33,28,5,0.848,23.52,10.01,2712,2266,1350,917,2049,0.448,330,976,0.338,548,755,0.726,413,1458,501,200,165,467,614
5,Alabama A&M,33,15,18,0.455,-10.38,-7.31,2297,2340,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624
6,Alabama State,31,8,23,0.258,-15.97,-5.94,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557
7,Albany (NY),31,8,23,0.258,-14.37,-4.55,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576
8,Alcorn State,31,18,13,0.581,-8.4,-5.88,2112,2190,1261,746,1813,0.411,159,538,0.296,461,637,0.724,368,1050,310,249,79,393,590
9,American,32,17,15,0.531,-8.23,-7.7,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482
10,Appalachian State,32,16,16,0.5,-1.29,-0.77,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442
11,Arizona,34,28,6,0.824,20,8.82,2811,2431,1360,999,2015,0.496,292,765,0.382,521,735,0.709,349,1339,652,208,109,455,579
12,Arizona State,34,22,12,0.647,11.02,8.41,2391,2302,1375,850,2056,0.413,255,813,0.314,436,633,0.689,385,1253,484,247,159,402,630
13,Arkansas,33,20,13,0.606,16.64,9.61,2456,2224,1325,893,1879,0.475,168,530,0.317,502,728,0.69,331,1162,443,277,173,426,631
14,Arkansas State,33,13,20,0.394,-7.78,-3.01,2169,2232,1325,777,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.49,-4.86,2074,2162,1250,701,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611
16,Army,33,17,16,0.515,-7.22,-7.67,2412,2322,1330,885,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532
17,Auburn,32,20,12,0.625,14.93,9.27,2327,2146,1285,826,1875,0.441,208,663,0.314,467,665,0.702,375,1159,454,256,164,399,615
18,Austin Peay,31,9,22,0.29,-12.45,-2.72,2067,2241,1245,743,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525
19,Ball State,32,20,12,0.625,-0.75,-3.05,2445,2292,1285,841,1785,0.471,240,651,0.369,523,759,0.689,337,1147,422,176,123,391,525
20,Baylor,32,22,10,0.688,18.08,11.17,2469,2248,1285,823,1843,0.447,310,834,0.372,513,685,0.749,373,1097,464,213,76,394,556
21,Bellarmine,33,15,18,0.455,-7.38,-1.31,2187,2216,1330,797,1738,0.459,264,752,0.351,329,436,0.755,217,960,467,184,45,368,522
22,Belmont,32,21,11,0.656,2.3,-1.51,2447,2299,1290,898,1902,0.472,307,791,0.388,344,474,0.726,267,1055,488,225,101,365,499
23,Bethune-Cookman,33,13,20,0.394,-16.45,-7.49,2232,2459,1325,793,1926,0.412,227,627,0.362,419,602,0.696,327,1066,371,236,97,420,575
24,Binghamton,31,13,18,0.419,-10.46,-5.53,2133,2217,1260,794,1763,0.45,172,533,0.323,373,523,0.713,301,1086,361,144,98,404,558
25,Boise State,33,24,9,0.727,13.63,6.6,2384,2123,1335,852,1873,0.455,259,710,0.365,421,573,0.735,287,1174,370,169,97,370,538
26,Boston College,33,16,17,0.485,1.13,4.76,2197,2317,1330,819,1873,0.437,188,590,0.319,371,512,0.725,308,1093,413,210,118,405,521
27,Boston University,32,15,17,0.469,-8.15,-6.57,2147,2151,1300,761,1845,0.412,238,722,0.33,387,524,0.739,328,1136,335,205,79,384,561
28,Bowling Green State,31,11,20,0.355,-8.09,-3.44,2355,2434,1240,840,1859,0.452,224,658,0.34,451,622,0.725,326,1109,428,188,93,378,550
29,Bradley,34,25,9,0.735,7.37,-0.6,2411,2114,1365,892,1928,0.463,271,754,0.359,356,532,0.669,329,1201,456,237,134,398,545
30,Brigham Young,34,19,15,0.559,9.91,5.87,2568,2376,1365,913,2008,0.455,276,812,0.34,466,650,0.717,374,1272,501,251,135,481,659
31,Brown,27,14,13,0.519,-2.67,-2.89,1878,1872,1086,682,1557,0.438,216,622,0.347,298,464,0.642,241,942,372,194,87,361,438
32,Bryant,30,17,13,0.567,-3.64,-4.57,2381,2193,1205,848,1821,0.466,243,714,0.34,442,602,0.734,318,1179,403,200,106,402,518
33,Bucknell,32,12,20,0.375,-9.57,-7.13,2161,2192,1290,797,1749,0.456,235,660,0.356,332,463,0.717,260,1084,429,176,121,427,498
34,Buffalo,32,15,17,0.469,-2.67,0.96,2481,2485,1285,906,2000,0.453,224,696,0.322,445,632,0.704,377,1208,470,254,102,452,602
35,Butler,32,14,18,0.438,5.85,8.54,2088,2174,1280,771,1767,0.436,207,633,0.327,339,459,0.739,207,958,403,216,138,378,429
36,Cal Poly,33,8,25,0.242,-7.02,-0.05,2006,2174,1330,715,1733,0.413,181,615,0.294,395,531,0.744,281,1080,341,181,82,457,653
37,Cal State Bakersfield,33,11,22,0.333,-7.87,-1,1995,2134,1340,732,1770,0.414,142,437,0.325,389,512,0.76,311,1055,355,205,100,424,621
38,Cal State Fullerton,33,20,13,0.606,2.23,0.23,2283,2148,1360,779,1812,0.43,253,686,0.369,472,681,0.693,303,1108,340,214,85,391,590
39,Cal State Northridge,32,7,25,0.219,-9.91,-1.25,2028,2194,1285,695,1735,0.401,184,575,0.32,454,612,0.742,313,1066,314,201,99,400,605
40,California,32,3,29,0.094,-2.88,8.91,1866,2243,1290,662,1694,0.391,156,524,0.298,386,534,0.723,278,1007,308,151,100,417,548
41,California Baptist,33,17,16,0.515,0.47,-0.43,2291,2156,1330,811,1898,0.427,276,837,0.33,393,592,0.664,362,1227,471,146,103,379,569
42,Campbell,34,16,18,0.471,-5.23,-4.88,2374,2329,1385,830,1777,0.467,228,683,0.334,486,691,0.703,267,1066,416,212,97,404,554
43,Canisius,30,10,20,0.333,-6.93,-3.34,2111,2169,1225,763,1809,0.422,255,734,0.347,328,448,0.732,313,1008,431,168,79,357,469
44,Central Arkansas,31,9,22,0.29,-13.63,-3.06,2261,2527,1255,818,1987,0.412,264,818,0.323,361,482,0.749,347,1128,384,202,98,413,508
45,Central Connecticut State,32,10,22,0.313,-14.05,-9.86,2111,2245,1295,791,1874,0.422,219,669,0.327,310,437,0.709,324,1092,412,179,122,380,451
46,Central Florida,32,18,14,0.563,11.24,4.99,2311,2111,1315,800,1863,0.429,284,790,0.359,427,554,0.771,373,1120,454,237,124,421,533
47,Central Michigan,31,10,21,0.323,-11.59,-2.25,2038,2263,1245,702,1688,0.416,191,637,0.3,443,642,0.69,343,1096,333,181,118,494,614
48,Charleston Southern,31,10,21,0.323,-9.4,-4.43,2251,2305,1245,819,1850,0.443,251,731,0.343,362,498,0.727,360,1091,373,157,81,365,562
49,Charlotte,32,18,14,0.563,3.62,-0.35,2135,2008,1305,788,1673,0.471,256,680,0.376,303,407,0.744,213,957,413,171,82,346,447
50,Chattanooga,35,18,17,0.514,-2.18,-3.18,2702,2523,1405,924,2042,0.452,398,1057,0.377,456,639,0.714,335,1268,536,200,121,407,552
51,Chicago State,31,11,20,0.355,-10.93,-3.15,2180,2264,1245,760,1757,0.433,256,755,0.339,404,555,0.728,365,1090,379,175,83,422,561
52,Cincinnati,33,21,12,0.636,11.99,5.09,2548,2284,1330,936,2082,0.45,298,836,0.356,378,542,0.697,361,1217,520,207,131,351,523
53,Clemson,33,23,10,0.697,11.23,4.08,2476,2240,1330,874,1862,0.469,276,747,0.369,452,572,0.79,244,1156,472,170,102,369,576
54,Cleveland State,34,21,13,0.618,-1.9,-4.93,2437,2314,1380,928,2040,0.455,174,562,0.31,407,599,0.679,428,1213,456,237,114,396,568
55,Coastal Carolina,31,11,20,0.355,-8.71,-1.53,2273,2294,1250,816,1880,0.434,223,705,0.316,418,533,0.784,349,1153,383,188,99,379,497
56,Colgate,34,26,8,0.765,2.28,-6.63,2672,2345,1360,1017,1980,0.514,283,694,0.408,355,540,0.657,270,1155,631,237,97,346,427
57,College of Charleston,34,31,3,0.912,8.46,-4.51,2747,2290,1370,941,2146,0.438,343,1027,0.334,522,704,0.741,464,1377,469,250,107,408,572
58,Colorado,33,17,16,0.515,12.05,8.78,2311,2203,1320,844,1943,0.434,215,675,0.319,408,589,0.693,371,1231,430,250,120,441,538
59,Colorado State,33,15,18,0.455,6.22,6.44,2391,2355,1335,873,1790,0.488,251,689,0.364,394,529,0.745,197,1014,545,187,81,368,537
60,Columbia,29,7,22,0.241,-14.65,-2.65,1966,2197,1170,696,1728,0.403,226,714,0.317,348,487,0.715,296,998,340,196,58,401,485
61,Connecticut,32,24,8,0.75,20.88,7.45,2518,2087,1280,886,1925,0.46,289,805,0.359,457,609,0.75,432,1248,555,209,156,415,581
62,Coppin State,32,9,23,0.281,-14.6,-3.44,2304,2661,1300,779,1790,0.435,268,793,0.338,478,665,0.719,206,973,361,246,81,477,629
63,Cornell,28,17,11,0.607,0.38,-2.66,2287,2129,1125,816,1738,0.47,300,851,0.353,355,490,0.724,291,964,489,272,63,348,466
64,Creighton,33,21,12,0.636,17.69,9.54,2529,2260,1330,908,1943,0.467,294,817,0.36,419,546,0.767,279,1227,525,173,138,384,434
65,Dartmouth,28,10,18,0.357,-8.14,-2.67,1998,2027,1135,719,1626,0.442,228,685,0.333,332,475,0.699,236,976,360,153,113,404,476
66,Davidson,32,16,16,0.5,2.21,1.69,2236,2197,1295,785,1774,0.443,216,664,0.325,450,602,0.748,265,1054,420,172,41,347,485
67,Dayton,33,22,11,0.667,9.28,1.06,2278,2007,1330,815,1728,0.472,222,643,0.345,426,614,0.694,305,1191,507,162,143,403,449
68,Delaware,33,17,16,0.515,-5.59,-3.74,2298,2333,1330,816,1859,0.439,218,680,0.321,448,616,0.727,286,1069,389,228,131,374,540
69,Delaware State,30,6,24,0.2,-17.71,-4.96,1939,2265,1210,714,1725,0.414,171,542,0.315,340,494,0.688,336,1047,372,209,79,481,551
70,Denver,32,15,17,0.469,-9.09,-5.42,2325,2402,1300,835,1716,0.487,144,442,0.326,511,713,0.717,290,1126,363,177,98,479,544
71,DePaul,33,10,23,0.303,2.96,9.08,2349,2551,1340,838,1961,0.427,273,742,0.368,400,541,0.739,305,1070,457,211,156,427,604
72,Detroit Mercy,33,14,19,0.424,-3.01,-3.42,2527,2486,1330,876,2024,0.433,338,875,0.386,437,569,0.768,433,1212,413,202,64,390,529
73,Drake,34,27,7,0.794,8.34,-1.12,2561,2173,1390,930,1977,0.47,271,727,0.373,430,559,0.769,276,1215,463,183,89,356,503
74,Drexel,32,17,15,0.531,-2.26,-5.42,2135,1997,1305,773,1794,0.431,229,725,0.316,360,527,0.683,330,1120,374,180,103,373,464
75,Duke,34,26,8,0.765,15.61,7.03,2466,2174,1365,884,1959,0.451,233,693,0.336,465,604,0.77,413,1316,503,194,153,409,517
76,Duquesne,32,20,12,0.625,4.08,0.14,2394,2268,1282,871,1990,0.438,288,790,0.365,364,529,0.688,397,1145,491,265,124,381,597
77,East Carolina,33,16,17,0.485,0.06,1.76,2271,2327,1320,769,1896,0.406,249,788,0.316,484,704,0.688,403,1223,433,214,87,435,583
78,East Tennessee State,32,12,20,0.375,-5.88,-4.31,2211,2208,1285,821,1814,0.453,203,633,0.321,366,546,0.67,343,1122,390,195,99,420,491
79,Eastern Illinois,31,9,22,0.29,-13.83,-6.49,2134,2235,1245,797,1800,0.443,162,493,0.329,378,593,0.637,288,1052,449,260,105,419,559
80,Eastern Kentucky,33,20,13,0.606,-2.48,-2.11,2553,2380,1325,958,2202,0.435,283,839,0.337,354,538,0.658,452,1329,502,267,160,401,530
81,Eastern Michigan,31,8,23,0.258,-10.69,-1.53,2239,2505,1250,803,1827,0.44,192,608,0.316,441,575,0.767,270,974,299,194,67,367,587
82,Eastern Washington,32,22,10,0.688,1.31,-2.11,2466,2284,1280,880,1784,0.493,282,783,0.36,424,562,0.754,286,1152,495,159,98,435,562
83,Elon,32,8,24,0.25,-12.78,-4.31,2094,2291,1280,762,1791,0.425,218,722,0.302,352,497,0.708,281,1079,389,196,69,395,515
84,Evansville,32,5,27,0.156,-14.7,-1.11,1997,2432,1280,729,1839,0.396,199,618,0.322,340,540,0.63,252,1004,328,224,62,392,520
85,Fairfield,31,13,18,0.419,-6.9,-4.43,2012,2045,1255,690,1681,0.41,178,621,0.287,454,627,0.724,305,1045,296,170,114,367,472
86,Fairleigh Dickinson,34,19,15,0.559,-11.4,-11.72,2646,2547,1375,971,2133,0.455,275,795,0.346,429,575,0.746,398,1162,509,273,66,391,647
87,Florida,32,16,16,0.5,11.84,8.56,2302,2197,1285,811,1845,0.44,216,677,0.319,464,647,0.717,265,1114,398,215,169,353,526
88,Florida A&M,29,7,22,0.241,-17.41,-4.6,1700,2030,1165,595,1536,0.387,167,533,0.313,343,496,0.692,295,953,280,191,105,464,551
89,Florida Atlantic,34,31,3,0.912,13.39,0.51,2679,2209,1370,960,2034,0.472,332,893,0.372,427,596,0.716,358,1315,497,231,84,400,539
90,Florida Gulf Coast,32,17,15,0.531,-2.57,-3.02,2280,2222,1290,805,1844,0.437,295,832,0.355,375,507,0.74,301,1107,409,219,104,365,497
91,Florida International,32,14,18,0.438,-3.05,-0.02,2339,2404,1300,867,1861,0.466,219,671,0.326,386,541,0.713,275,1008,397,290,128,473,547
92,Florida State,32,9,23,0.281,-0.32,6.56,2219,2439,1280,802,1840,0.436,209,633,0.33,406,559,0.726,278,1006,430,197,125,388,519
93,Fordham,33,25,8,0.758,2.41,-1.98,2376,2231,1330,797,1901,0.419,252,792,0.318,530,715,0.741,356,1219,418,238,160,446,647
94,Fresno State,31,11,20,0.355,3.24,5.74,1974,2036,1240,720,1673,0.43,210,681,0.308,324,420,0.771,248,938,382,196,103,359,499
95,Furman,34,27,7,0.794,5.11,-3.9,2791,2421,1375,978,2023,0.483,324,934,0.347,511,690,0.741,337,1207,581,231,109,379,570
96,Gardner-Webb,31,15,16,0.484,-3.81,-4.61,2192,2032,1260,813,1741,0.467,196,583,0.336,370,592,0.625,310,1097,399,222,146,403,594
97,George Mason,33,20,13,0.606,1.94,0.49,2268,2220,1330,800,1774,0.451,240,685,0.35,428,657,0.651,302,1180,452,152,103,453,568
98,George Washington,32,16,16,0.5,-1.73,-0.4,2441,2455,1305,869,1849,0.47,228,710,0.321,475,644,0.738,284,1118,406,182,109,403,526
99,Georgetown,32,7,25,0.219,-1.09,7.5,2225,2500,1290,818,1934,0.423,185,599,0.309,404,563,0.718,345,1151,380,197,146,392,462
100,Georgia,32,16,16,0.5,2.2,5.2,2193,2289,1285,728,1774,0.41,215,678,0.317,522,718,0.727,347,1145,358,202,85,423,513
101,Georgia Southern,33,17,16,0.515,-3.04,-1.81,2257,2201,1325,840,1926,0.436,207,659,0.314,370,539,0.686,325,1165,343,232,94,378,551
102,Georgia State,31,10,21,0.323,-6.58,-0.72,2068,2150,1245,745,1789,0.416,164,556,0.295,414,581,0.713,343,1070,342,179,111,400,528
103,Georgia Tech,33,15,18,0.455,2.15,4.96,2301,2335,1325,855,2019,0.423,259,773,0.335,332,477,0.696,349,1155,463,197,134,349,524
104,Gonzaga,33,28,5,0.848,20.16,7.53,2888,2406,1325,1076,2035,0.529,256,661,0.387,480,685,0.701,336,1204,547,252,110,349,554
105,Grambling,33,24,9,0.727,-3.64,-8.09,2276,2054,1325,811,1785,0.454,174,489,0.356,480,745,0.644,364,1196,405,242,136,475,624
106,Grand Canyon,35,24,11,0.686,4.64,1.02,2636,2339,1410,905,1953,0.463,314,819,0.383,512,715,0.716,357,1292,441,172,115,423,632
107,Green Bay,32,3,29,0.094,-20.09,-2.94,1898,2447,1285,656,1665,0.394,218,724,0.301,368,524,0.702,235,905,350,162,76,447,541
108,Hampton,32,8,24,0.25,-15.1,-4.55,2183,2481,1285,759,1934,0.392,228,709,0.322,437,636,0.687,335,1098,352,138,101,354,587
109,Hartford,28,5,23,0.179,-23.34,-8.18,1757,1991,1120,659,1543,0.427,206,620,0.332,233,362,0.644,255,886,364,179,105,403,395
110,Harvard,28,14,14,0.5,-0.82,-2.13,1914,1858,1130,700,1593,0.439,184,596,0.309,330,493,0.669,299,1015,370,211,107,381,408
111,Hawaii,33,22,11,0.667,2.82,-1.71,2208,2039,1335,772,1799,0.429,220,667,0.33,444,594,0.747,320,1165,367,151,125,401,528
112,High Point,31,14,17,0.452,-9.84,-5.19,2312,2392,1241,813,1834,0.443,234,720,0.325,452,722,0.626,362,1179,383,203,152,438,573
113,Hofstra,33,24,9,0.727,4.9,-3.19,2466,2159,1330,940,1955,0.481,286,779,0.367,300,407,0.737,248,1120,472,207,141,349,474
114,Holy Cross,32,10,22,0.313,-14.27,-6.41,2136,2324,1285,812,1862,0.436,219,599,0.366,293,471,0.622,255,1040,398,203,89,387,514
115,Houston,33,31,2,0.939,23.83,4.44,2486,1846,1320,916,1964,0.466,258,741,0.348,396,549,0.721,413,1277,493,278,158,328,544
116,Houston Christian,32,10,22,0.313,-16.83,-6.59,2482,2658,1285,851,1863,0.457,265,726,0.365,515,717,0.718,330,1097,474,184,88,489,575
117,Howard,34,22,12,0.647,-4.76,-5.76,2566,2446,1365,908,1971,0.461,272,722,0.377,478,669,0.714,394,1217,505,244,108,555,600
118,Idaho,32,10,22,0.313,-8.37,-3.53,2335,2332,1296,824,1747,0.472,217,638,0.34,470,617,0.762,222,979,381,164,57,362,539
119,Idaho State,32,11,21,0.344,-6.24,-2.64,2213,2272,1310,794,1785,0.445,245,725,0.338,380,517,0.735,259,1005,392,185,90,370,564
120,Illinois,32,20,12,0.625,15.36,7.67,2389,2143,1295,854,1894,0.451,245,793,0.309,436,641,0.68,363,1214,399,219,181,409,540
121,Illinois State,32,11,21,0.344,-6.93,-2.93,2127,2255,1300,737,1699,0.434,232,690,0.336,421,531,0.793,280,1045,345,183,105,466,590
